counts_code,scenario_type,total_tasks,n1,n2,n3,n4,gamma,recommend_3arm_lambda_count,max_lambda_still_recommend_3arm,min_robust_score_over_all_lambda,max_robust_score_over_all_lambda,robust_score_lambda_2,robust_score_lambda_5,robust_score_lambda_8,structure_note
1211,single_arm_dominant,5,1,2,1,1,0.5,7,6,-44.42,30.42,22.69,7.21,-8.27,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1212,mixed_balanced,6,1,2,1,2,0.5,8,8,-24.39,33.28,27.32,15.38,3.45,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1221,mixed_balanced,6,1,2,2,1,0.5,7,6,-31.11,30.47,24.1,11.36,-1.38,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1222,dual_arm_dominant,7,1,2,2,2,0.5,8,8,-24.66,26.48,21.2,10.64,0.06,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2111,single_arm_dominant,5,2,1,1,1,0.5,5,4,-64.19,28.04,18.57,-0.47,-19.56,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2112,mixed_balanced,6,2,1,1,2,0.5,7,6,-42.43,29.4,21.97,7.11,-7.75,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2121,mixed_balanced,6,2,1,2,1,0.5,7,6,-39.74,29.14,22.19,8.05,-6.23,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2122,dual_arm_dominant,7,2,1,2,2,0.5,6,5,-40.08,22.56,16.12,3.18,-9.79,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2211,single_arm_dominant,6,2,2,1,1,0.5,6,5,-47.24,24.22,16.87,2.14,-12.62,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2212,single_arm_dominant,7,2,2,1,2,0.5,7,6,-35.79,29.61,23.0,9.47,-4.1,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2221,single_arm_dominant,7,2,2,2,1,0.5,7,6,-40.29,29.5,22.28,7.84,-6.6,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2222,balanced,8,2,2,2,2,0.5,7,6,-32.28,24.63,18.75,6.97,-4.81,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1111,balanced,4,1,1,1,1,1,6,5,-51.68,25.35,17.41,1.49,-14.43,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1112,type4_dominant,5,1,1,1,2,1,6,5,-41.08,20.17,13.85,1.2,-11.47,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1121,dual_arm_dominant,5,1,1,2,1,1,5,4,-49.32,20.45,13.24,-1.18,-15.62,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1122,dual_arm_dominant,6,1,1,2,2,1,5,4,-37.42,16.46,10.89,-0.25,-11.4,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1211,single_arm_dominant,5,1,2,1,1,1,6,5,-50.87,28.01,19.87,3.56,-12.76,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1212,mixed_balanced,6,1,2,1,2,1,8,8,-28.58,30.83,24.68,12.39,0.1,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1221,mixed_balanced,6,1,2,2,1,1,7,6,-32.84,29.05,22.65,9.85,-2.96,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1222,dual_arm_dominant,7,1,2,2,2,1,7,6,-28.09,24.18,18.81,8.03,-2.78,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2111,single_arm_dominant,5,2,1,1,1,1,5,4,-72.55,25.93,15.89,-4.41,-24.81,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2112,mixed_balanced,6,2,1,1,2,1,6,5,-47.77,28.74,20.83,5.0,-10.83,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2121,mixed_balanced,6,2,1,2,1,1,7,6,-42.2,28.41,21.44,7.07,-7.61,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2122,dual_arm_dominant,7,2,1,2,2,1,6,5,-44.41,21.69,14.92,1.28,-12.41,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2211,single_arm_dominant,6,2,2,1,1,1,6,5,-47.87,23.41,16.12,1.49,-13.2,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2212,single_arm_dominant,7,2,2,1,2,1,7,6,-38.21,29.4,22.72,8.74,-5.34,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2221,single_arm_dominant,7,2,2,2,1,1,7,6,-41.81,29.35,21.99,7.27,-7.45,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2222,balanced,8,2,2,2,2,1,7,6,-33.13,24.25,18.31,6.44,-5.43,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1111,balanced,4,1,1,1,1,1.5,5,4,-56.31,20.28,12.39,-3.42,-19.25,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1112,type4_dominant,5,1,1,1,2,1.5,5,4,-45.25,16.53,10.16,-2.59,-15.36,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1121,dual_arm_dominant,5,1,1,2,1,1.5,4,3,-55.07,17.22,9.76,-5.18,-20.14,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1122,dual_arm_dominant,6,1,1,2,2,1.5,5,4,-40.3,13.65,8.08,-3.07,-14.23,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1211,single_arm_dominant,5,1,2,1,1,1.5,5,4,-57.33,25.6,17.05,-0.09,-17.25,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1212,mixed_balanced,6,1,2,1,2,1.5,7,6,-32.77,28.38,22.05,9.4,-3.25,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1221,mixed_balanced,6,1,2,2,1,1.5,7,6,-34.57,27.64,21.2,8.33,-4.54,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1222,dual_arm_dominant,7,1,2,2,2,1.5,7,6,-31.53,21.89,16.41,5.41,-5.63,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2111,single_arm_dominant,5,2,1,1,1,1.5,4,3,-80.92,23.82,13.2,-8.34,-30.05,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2112,mixed_balanced,6,2,1,1,2,1.5,6,5,-53.1,28.09,19.69,2.89,-13.91,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2121,mixed_balanced,6,2,1,2,1,1.5,7,6,-44.66,27.67,20.7,6.09,-8.98,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2122,dual_arm_dominant,7,2,1,2,2,1.5,5,4,-48.74,20.81,13.73,-0.61,-15.02,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2211,single_arm_dominant,6,2,2,1,1,1.5,6,5,-48.49,22.6,15.37,0.84,-13.79,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2212,single_arm_dominant,7,2,2,1,2,1.5,7,6,-40.64,29.2,22.45,8.0,-6.57,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2221,single_arm_dominant,7,2,2,2,1,1.5,7,6,-43.32,29.19,21.7,6.7,-8.31,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2222,balanced,8,2,2,2,2,1.5,7,6,-33.98,23.86,17.88,5.91,-6.06,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1111,balanced,4,1,1,1,1,2,4,3,-60.95,15.21,7.37,-8.33,-24.07,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1112,type4_dominant,5,1,1,1,2,2,4,3,-49.41,12.88,6.47,-6.38,-19.26,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1121,dual_arm_dominant,5,1,1,2,1,2,4,3,-60.82,13.99,6.27,-9.18,-24.66,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1122,dual_arm_dominant,6,1,1,2,2,2,4,3,-43.18,10.85,5.27,-5.89,-17.07,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1211,single_arm_dominant,5,1,2,1,1,2,5,4,-63.79,23.19,14.23,-3.74,-21.74,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1212,mixed_balanced,6,1,2,1,2,2,7,6,-36.96,25.92,19.42,6.41,-6.6,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1221,mixed_balanced,6,1,2,2,1,2,7,6,-36.3,26.22,19.75,6.82,-6.12,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1222,dual_arm_dominant,7,1,2,2,2,2,6,5,-34.96,19.59,14.01,2.8,-8.48,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2111,single_arm_dominant,5,2,1,1,1,2,4,3,-89.29,21.72,10.52,-12.28,-35.3,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2112,mixed_balanced,6,2,1,1,2,2,6,5,-58.44,27.43,18.55,0.78,-16.98,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2121,mixed_balanced,6,2,1,2,1,2,6,5,-47.13,26.94,19.96,5.11,-10.36,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2122,dual_arm_dominant,7,2,1,2,2,2,5,4,-53.07,19.93,12.53,-2.5,-17.64,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2211,single_arm_dominant,6,2,2,1,1,2,6,5,-49.12,21.79,14.62,0.19,-14.38,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2212,single_arm_dominant,7,2,2,1,2,2,7,6,-43.06,28.99,22.17,7.27,-7.81,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2221,single_arm_dominant,7,2,2,2,1,2,7,6,-44.84,29.04,21.41,6.13,-9.16,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2222,balanced,8,2,2,2,2,2,7,6,-34.83,23.47,17.44,5.38,-6.68,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
